LDM-503-1,Test report: Science Platform with WISE data in PDAC,2017-11-30,"SUIT continues PDAC development, adding the WISE data, further exercising the DAX dbserv and imgserv APIs, and taking advantage of metaserv once it becomes available"," From DAX: need to be clear about which WISE datasets are to be loaded -- the data wrangling effort required to download, inspect, convert, partition, and load each additional dataset is cumulatively non-trivial for DAX"
LDM-503-2,Test report: HSC reprocessing,2017-11-30," Validate the data products with the LSST stack match or improve upon HSC products.
 Validate the ops platform in NCSA, including installing the stack, starting & stopping production.
 Generate a validation data set for weekly integration and other tests."," From the pipelines perspective, I think there's no new work involved here beyond the v13.0 release (at which point the HSC merge is complete and QA has been performed). Suggest we'd run this with the latest release as of the date of the test (so this is 14.N, where 14.0 is the end-of-S17 release).
 Again from pipelines, I don't care about what the ""ops platform"" actually consists of. Suggest that the plausible availability of services should drive the test plan in this case, rather than vice versa.
 ""Generate a validation dataset"" is a good aim, but relates to an existing RFC (RFC-243) — need to achieve consensus there about what we're looking for here.
 Can this also include database ingest?"
LDM-503-3,Test report: Alert generation validation,2017-11-30, Validate the alert generation stack performance on several DECam & HSC datasets.," ""Stack"" is probably ill-defined here — is this simply testing science logic, or are we going after a wider integration exercise?"
LSST-1200,Test report: Interface verification: single visit,2017-12-07," Verify that all interfaces, including the DAQ, are working to capture images from a single visit.",
LDM-503-4,Test report: Aux Tel DAQ integration functionalty test,2018-02-01, The production Aux Tel data acquisition hardware should be available in Tucson in 2018-02. We should prepare by testing the adjacent archive systems.," A minimal DM-only system that can archive mocked-up images and demonstrate that they can be retrieved, with provenance and metadata."
LDM-503-4b ,Test Report: Aux Tel DAQ interface Integration Verification and Spectrograph Operations Rehearsal,2018-02-12, The production Aux Tel data acquisition hardware should be available in Tucson in 2018-02. We should test integration with the adjacent archive systems., A minimal system that can archive simulated images from the Aux Tel DAQ and demonstrate that they can be retrieved.
LSST-1220,Test report: EFD ETL under DM device control,2018-04-06, Integration of the DM EFD Transformation Service with the live EFD is demonstrated.  Transformation of historical EFD data (since 2017-12) is also demonstrated.," This does not mean that the EFD Transformation Service is placed in Operational status, but a successful test means that it could be."
LDM-503-5,Test report: Alert distribution validation,2018-05-31, Validate alert distribution system and mini-broker fed by live or simulated live data., Can we test a SUIT interface to the broker at this point? I believe it's not scheduled until later in construction.
LDM-503-6,Test report: DM ComCam interface verification readiness,2018-06-30, ComCam will be in Tucson on 2018-07-24. The DM system must be ready to deal with it.," ""The DM system"" should use some further definition: what do we want to test here? Data flow from ComCam to the Data Backbone, or science processing of ComCam data?
 Note the LSE-79 requirements for DM services in support of ComCam in table 8. They're required by Nov 2019/Feb 2020; it may be more appropriate to test some of them at a later date?"
CAMM6995,COMP: Partial Camera Image data for Data Managemen,2018-07-31,,
LDM-503-7,Test report: Camera data processing,2018-08-31, Partial camera data should be available to DM July 31st. We plan to test DM stack with it.,
LDM-503-8,Test report: Spectrograph data acquisition,2018-11-30, Demonstrate that we can acquire (and process?) data from the spectrograph.," Per LSE-79, AuxTel delivery in Nov 2017 (ie, a year before this milestone) includes: → EFD ETL service → Aux Telescope Archiving Service → Data backbone in support of Aux Telescope archiving Do we need to schedule another test to cover that?"
LDM-503-9,Verification tests in advance of pre-ops rehearsal for commissioning #1,2018-11-30," Test how the system will run during commissioning.
 Chuck requests that this initial test focus on ISR."," ""Focus on ISR"" — we should test whatever we have available. See LSE-79 for a list of requirements."
LDM-503-10,Test report: DAQ validation,2019-02-28, There is a project Milestone that DAQ/DM/Networks are available March 15th. We need to run tests in Feb to show this is ready.,
T&SC-1150-0600,Atmospheric Telescope Completion,2019-04-25,,
T&SC-1100-0900,WFS Software Complete,2019-09-24,,
COMC-1264,Commissioning Software Stack tested & integrated,2019-09-24,,
LDM-503-11a,Test report: DM ComCam operations readiness ,2019-10-20, ComCam will be in use in Nov . The DM system must be ready to deal with it.," ""The DM system"" should use some further definition: what do we want to test here? Data flow from ComCam to the Data Backbone, or science processing of ComCam data?
 Note the LSE-79 requirements for DM services in support of ComCam in table 8. They're required by Nov 2019/Feb 2020; it may be more appropriate to test some of them at a later date?"
LDM-503-11,Verification tests in advance of pre-ops rehearsal for commissioning #2,2019-10-31," More complete commissioning rehearsal: how do the scientists look at data? How do they provide feedback to the telescope? How do we create/update calibrations?
 Exercise control loops.",
LDM-503-12,Verification tests in advance of pre-ops rehearsal for commissioning #3,2020-01-31," Dress rehearsal: commissioning starts in April, so by this stage we should be ready to do everything needed.",
LSST-1510,Start Early System I&T (start of Commissioning),2020-05-06,,
LSST-1513,Engineering First Light w/ ComCam,2020-06-30,,
COMC-1664,DMS Archive Center Complete,2020-10-23,,
LDM-503-13,Test report: Ops rehearsal DRP (ComCam data),2020-11-30, ComCam data will now be available. Demonstrate its use in producing a data release.," Note that LSE-79 requires a suite of DM services in support of the full camera in May 2020. It seems inappropriate to test them as part of a commissioning ops rehearsal, but they are well before this data. Do we need another test milestone?"
LSST-1520,System First Light,2021-03-09,,
LDM-503-14,Test report: DM Software for Science Verification,2021-03-31, Science Verification starts in April. Demonstrate that all required DM software is available.," SV will include calculating all KPMs to demonstrate that we are reaching the science requirements. That obviously means we'll need code which is both capable of reaching those requirements, and calculating the KPMs. "
LSST-1540,Start of Science Verification,2021-06-02,,
LSST-1560,Science Verification Complete,2021-11-02,,
LDM-503-15,Test report: Ops rehearsal DRP (SV data),2021-11-30, Science Verification data will now be available. Demonstate its use in producting a data release.,
LDM-503-16,Verification tests in advance of full scale ops rehearsal #1,2022-02-28, Test readiness for operations.,
LDM-503-17,Verification tests in advance of full scale ops rehearsal #2,2022-09-30, Confirm readiness for operations.,
LSST-1620,Start of Full Science Operations,2022-10-03,,
